term,freq
lap_en,0.0009017132551848512
todays,0.027953110910730387
msgs,0.009017132551848512
150ppermesssubscription,0.004508566275924256
four,0.0018034265103697023
woods,0.0018034265103697023
asian,0.0018034265103697023
165,0.0009017132551848512
0796xxxxxx,0.0018034265103697023
spjanuary,0.0018034265103697023
08717898035,0.004508566275924256
aud,0.0009017132551848512
paris,0.004508566275924256
swat,0.0009017132551848512
invaders,0.0018034265103697023
aut,0.0009017132551848512
lord,0.0009017132551848512
rp176781,0.0018034265103697023
worth,0.019837691614066726
started,0.0009017132551848512
eire,0.002705139765554554
61200,0.0018034265103697023
aoole,0.0009017132551848512
08714712394,0.0018034265103697023
activation,0.0009017132551848512
chik,0.0009017132551848512
stolen,0.0009017132551848512
every,0.046889089269612265
08704050406,0.0018034265103697023
12hrs,0.029756537421100092
bringing,0.0009017132551848512
tickets,0.0036068530207394047
prize,0.14337240757439135
skills,0.0009017132551848512
companies,0.0009017132551848512
upload,0.0018034265103697023
69888,0.0018034265103697023
unauthorised,0.0009017132551848512
9pm,0.002705139765554554
enjoy,0.010820559062218215
10k,0.004508566275924256
09099726481,0.0018034265103697023
3680,0.0018034265103697023
specially,0.014427412082957619
enti,0.0009017132551848512
phones,0.011722272317403066
clubmoby,0.0018034265103697023
direct,0.010820559062218215
horo,0.0009017132551848512
street,0.0036068530207394047
txtno,0.002705139765554554
ill,0.0009017132551848512
10p,0.031559963931469794
goto,0.009017132551848512
even,0.009017132551848512
textoperator,0.002705139765554554
hide,0.0009017132551848512
text82228,0.0009017132551848512
selected,0.04147880973850315
08702840625,0.005410279531109108
new,0.0793507664562669
net,0.023444544634806132
ever,0.0036068530207394047
med,0.0036068530207394047
meg,0.0018034265103697023
whose,0.0018034265103697023
never,0.0009017132551848512
mei,0.0009017132551848512
y87,0.0018034265103697023
met,0.0018034265103697023
verifyapple,0.0009017132551848512
active,0.002705139765554554
08718711108,0.0009017132551848512
100,0.060414788097385035
087187262701,0.004508566275924256
films,0.0018034265103697023
digits,0.0018034265103697023
w111wx,0.005410279531109108
08448350055,0.0009017132551848512
auction,0.010820559062218215
items,0.0009017132551848512
84128,0.005410279531109108
changed,0.0009017132551848512
eastenders,0.0018034265103697023
7zs,0.0009017132551848512
jamz,0.0009017132551848512
itunes,0.0018034265103697023
credit,0.011722272317403066
callcost150ppmmobilesvary,0.0018034265103697023
menu,0.0009017132551848512
subpoly,0.0036068530207394047
00euro,0.0009017132551848512
iyzl3043uay,0.0009017132551848512
munsters,0.002705139765554554
txn,0.0009017132551848512
fantastic,0.010820559062218215
secure,0.005410279531109108
search,0.0018034265103697023
brought,0.0018034265103697023
mtmsg18,0.004508566275924256
09061743810,0.0018034265103697023
txt,0.19296663660955815
6465830596,0.0009017132551848512
would,0.004508566275924256
ec2a,0.0063119927862939585
browse,0.0009017132551848512
myr4399,0.0009017132551848512
hungry,0.0009017132551848512
3lp,0.004508566275924256
call,0.43462578899909826
phstop,0.0009017132551848512
07880867867,0.0009017132551848512
preview,0.0036068530207394047
08709501522,0.0018034265103697023
tell,0.015329125338142471
1000,0.06402164111812443
brings,0.0009017132551848512
expressoffer,0.002705139765554554
wml,0.0018034265103697023
hols,0.002705139765554554
yahoo,0.002705139765554554
award,0.033363390441839495
phone,0.05320108205590622
warm,0.0018034265103697023
adult,0.0036068530207394047
sorry,0.002705139765554554
must,0.007213706041478809
08717507382,0.0009017132551848512
join,0.019837691614066726
work,0.004508566275924256
cm2,0.0036068530207394047
csbcm4235wc1n3xx,0.005410279531109108
tnc,0.0036068530207394047
henry,0.0009017132551848512
02085076972,0.0009017132551848512
m26,0.004508566275924256
drvgsto,0.0009017132551848512
give,0.009918845807033363
1win150ppmx3,0.002705139765554554
india,0.002705139765554554
cleanbeautytalk,0.0009017132551848512
etlp,0.0018034265103697023
want,0.0351668169522092
08708800282,0.0018034265103697023
la1,0.0018034265103697023
la3,0.0018034265103697023
str8,0.0009017132551848512
!!!,0.004508566275924256
eng,0.005410279531109108
verify,0.007213706041478809
travel,0.002705139765554554
hot,0.016230838593327322
08719180219,0.0009017132551848512
answer,0.009918845807033363
08002988890,0.0018034265103697023
panasonic,0.0009017132551848512
pobox1,0.0009017132551848512
pizza,0.0009017132551848512
mobilesvary,0.0036068530207394047
1172,0.0009017132551848512
haven,0.0009017132551848512
videophones,0.004508566275924256
adrian,0.0009017132551848512
loyalty,0.009017132551848512
wan2,0.0018034265103697023
plyr,0.0009017132551848512
president,0.0018034265103697023
07781482378,0.002705139765554554
50pm,0.0018034265103697023
4goten,0.0009017132551848512
purchase,0.002705139765554554
attempt,0.0351668169522092
|..,|,0.0009017132551848512
wins,0.0018034265103697023
homeowners,0.0036068530207394047
age16,0.014427412082957619
greet,0.0018034265103697023
ls15hb,0.0018034265103697023
nabmobile,0.002705139765554554
tulip,0.0018034265103697023
green,0.0009017132551848512
ultimate,0.0018034265103697023
areyouunique,0.0009017132551848512
enter,0.015329125338142471
20m12aq,0.0018034265103697023
order,0.015329125338142471
samsungzoneuk,0.0009017132551848512
fifa,0.0018034265103697023
89545,0.004508566275924256
wc1n,0.0009017132551848512
zed,0.005410279531109108
deck,0.0018034265103697023
dirtiest,0.0009017132551848512
fall,0.0009017132551848512
vary,0.007213706041478809
kickoff,0.0018034265103697023
deducted,0.0009017132551848512
barclays,0.0009017132551848512
london,0.0063119927862939585
pokecoins,0.0009017132551848512
40411,0.0009017132551848512
82050,0.002705139765554554
nett,0.0009017132551848512
vifppoints,0.0009017132551848512
87575,0.004508566275924256
scoring,0.002705139765554554
fit,0.0009017132551848512
personal,0.0036068530207394047
max10mins,0.008115419296663661
better,0.0009017132551848512
bcmsfwc1n3xx,0.0009017132551848512
2morow,0.0009017132551848512
condition,0.0009017132551848512
400,0.009017132551848512
09095350301,0.0009017132551848512
wales,0.0009017132551848512
weeks,0.013525698827772768
nokia6600,0.002705139765554554
shag,0.0009017132551848512
eurodisinc,0.002705139765554554
vouchers,0.032461677186654644
break,0.007213706041478809
band,0.0009017132551848512
2channel,0.0009017132551848512
0844,0.0018034265103697023
0845,0.002705139765554554
69969,0.0009017132551848512
08714712412,0.0018034265103697023
echo,0.0009017132551848512
rental,0.011722272317403066
cnupdates,0.0018034265103697023
f4q,0.0009017132551848512
mk45,0.0018034265103697023
netherlands,0.0009017132551848512
dload,0.004508566275924256
notified,0.0018034265103697023
lucy,0.0018034265103697023
detroit,0.0009017132551848512
arrow,0.0018034265103697023
movistar,0.0009017132551848512
373,0.0036068530207394047
meal,0.0018034265103697023
luck,0.008115419296663661
gprs,0.0009017132551848512
450pw,0.0009017132551848512
24m,0.0009017132551848512
08714712388,0.0009017132551848512
08000407165,0.0036068530207394047
spider,0.0018034265103697023
january,0.0009017132551848512
pbx,0.0009017132551848512
contracting,0.0009017132551848512
03303800231,0.0018034265103697023
2day,0.005410279531109108
logo,0.005410279531109108
ring,0.005410279531109108
2309,0.0018034265103697023
goo,0.0018034265103697023
network,0.030658250676284943
driving,0.0009017132551848512
open,0.0009017132551848512
oakleyoutletsco,0.0009017132551848512
help08714742804,0.0018034265103697023
mandy,0.0018034265103697023
tomorrow,0.011722272317403066
content,0.015329125338142471
ntwk,0.0036068530207394047
laid,0.005410279531109108
09061701851,0.0018034265103697023
surprise,0.007213706041478809
akon,0.0009017132551848512
cibc,0.0009017132551848512
web2mobile,0.0018034265103697023
dracula,0.002705139765554554
ntt,0.010820559062218215
free,0.20018034265103696
standard,0.009918845807033363
golddigger,0.0009017132551848512
hv9d,0.0009017132551848512
wanted,0.0009017132551848512
32000,0.0018034265103697023
88039,0.007213706041478809
trebles,0.0009017132551848512
maniac,0.0009017132551848512
starts,0.005410279531109108
atm,0.005410279531109108
messages,0.015329125338142471
days,0.014427412082957619
81618,0.0036068530207394047
pence,0.002705139765554554
lyricalladie,0.0009017132551848512
kingdom,0.0009017132551848512
onto,0.009918845807033363
69988,0.0009017132551848512
purpose,0.004508566275924256
shinco,0.0009017132551848512
already,0.0036068530207394047
features,0.0018034265103697023
render,0.0009017132551848512
psychic,0.0009017132551848512
fantasy,0.0063119927862939585
kfc,0.0009017132551848512
another,0.0036068530207394047
177,0.002705139765554554
tel,0.0009017132551848512
widelive,0.0018034265103697023
activ8,0.0009017132551848512
anyone,0.0009017132551848512
service,0.059513074842200184
top,0.020739404869251576
girls,0.005410279531109108
fml,0.0018034265103697023
09064015307,0.0009017132551848512
confirming,0.0009017132551848512
rates,0.012623985572587917
or2stoptxt,0.002705139765554554
euro,0.004508566275924256
dogs,0.0018034265103697023
02072069400,0.0018034265103697023
txt43,0.0009017132551848512
update_now,0.0018034265103697023
7ws,0.0018034265103697023
o2fwd,0.0018034265103697023
07786200117,0.002705139765554554
helen,0.0009017132551848512
kept,0.002705139765554554
servs,0.0018034265103697023
termsapply,0.0009017132551848512
keyword,0.0009017132551848512
exorcist,0.002705139765554554
shsex,0.0009017132551848512
disk60,0.0009017132551848512
10th,0.0018034265103697023
mini,0.0018034265103697023
sexychat,0.0009017132551848512
mind,0.0018034265103697023
09061749602,0.0018034265103697023
09061209465,0.002705139765554554
9755,0.0018034265103697023
08006344447,0.002705139765554554
seem,0.0009017132551848512
mins,0.04328223624887286
tells,0.0036068530207394047
9758,0.0018034265103697023
forced,0.0009017132551848512
genuine,0.0036068530207394047
responsible,0.0009017132551848512
netbank,0.0009017132551848512
hoody,0.0009017132551848512
ringtoneking,0.0018034265103697023
luxury,0.0036068530207394047
minmobsmore,0.0018034265103697023
unsecured,0.0009017132551848512
blue,0.0009017132551848512
449050000301,0.0018034265103697023
08709222922,0.002705139765554554
though,0.0009017132551848512
0870753331018,0.0009017132551848512
sue,0.0009017132551848512
doit,0.0018034265103697023
09063458130,0.002705139765554554
regular,0.0009017132551848512
germany,0.002705139765554554
icloud,0.002705139765554554
mobs,0.0009017132551848512
blacklist,0.0009017132551848512
800,0.027953110910730387
released,0.0009017132551848512
dob,0.0009017132551848512
marsms,0.0009017132551848512
max6,0.0009017132551848512
xafter,0.0009017132551848512
41685,0.002705139765554554
points,0.016230838593327322
textcomp,0.005410279531109108
klia2,0.0018034265103697023
rupees,0.0009017132551848512
84484,0.0009017132551848512
83600,0.007213706041478809
incomplete,0.0018034265103697023
marvel,0.0018034265103697023
1146,0.0009017132551848512
contacted,0.004508566275924256
ringtones,0.009918845807033363
random,0.0009017132551848512
httpillow,0.0009017132551848512
ending,0.012623985572587917
win150ppmx3age16,0.0018034265103697023
gigolo,0.0009017132551848512
radio,0.0009017132551848512
enjoyed,0.002705139765554554
xxxmobilemovieclub,0.0018034265103697023
07090201529,0.0009017132551848512
busy,0.0036068530207394047
wtlp,0.0018034265103697023
weekends,0.009017132551848512
hrs,0.0009017132551848512
mens,0.0009017132551848512
542,0.0036068530207394047
mtmsgrcvd18,0.007213706041478809
smscaster,0.0009017132551848512
deepest,0.0009017132551848512
folks,0.0009017132551848512
83049,0.0018034265103697023
83738,0.0018034265103697023
sunglasses,0.0009017132551848512
89555,0.002705139765554554
0871277810810,0.002705139765554554
stop,0.12714156898106402
preferred,0.0009017132551848512
avble,0.0009017132551848512
1627,0.0009017132551848512
wedding,0.0009017132551848512
10ppm,0.0036068530207394047
nasty,0.0009017132551848512
tips,0.0009017132551848512
08712402779,0.0018034265103697023
bad,0.0009017132551848512
7684,0.0018034265103697023
respond,0.002705139765554554
disaster,0.0018034265103697023
reference,0.0036068530207394047
tattoos,0.0009017132551848512
07734396839,0.002705139765554554
08125000070,0.0009017132551848512
50award,0.0018034265103697023
recieve,0.0009017132551848512
08718727868,0.002705139765554554
becausethey,0.0009017132551848512
best,0.010820559062218215
subject,0.0009017132551848512
pete,0.0009017132551848512
draws,0.0018034265103697023
lots,0.002705139765554554
lotr,0.0009017132551848512
away,0.008115419296663661
2optout,0.007213706041478809
compensation,0.0018034265103697023
freeappleiphone,0.0009017132551848512
sugababes,0.0009017132551848512
80122300p,0.0018034265103697023
unable,0.004508566275924256
olympics,0.0018034265103697023
2morro,0.0018034265103697023
ringtoneÂ,0.0009017132551848512
09064012160,0.0036068530207394047
84122,0.0018034265103697023
men,0.0018034265103697023
terms,0.009017132551848512
nationwide,0.0018034265103697023
however,0.0009017132551848512
88600,0.0036068530207394047
lazo,0.0009017132551848512
80182,0.002705139765554554
news,0.009918845807033363
textpod,0.0036068530207394047
xchat,0.004508566275924256
received,0.0036068530207394047
accident,0.0036068530207394047
receivea,0.002705139765554554
unicef,0.0018034265103697023
country,0.0063119927862939585
bray,0.002705139765554554
readers,0.0018034265103697023
macedonia,0.0009017132551848512
amazing,0.002705139765554554
09065394514,0.0009017132551848512
mobcudb,0.0018034265103697023
games,0.014427412082957619
cod,0.0009017132551848512
4403ldnw1a7rw18,0.002705139765554554
morefrmmob,0.002705139765554554
login,0.011722272317403066
com,0.09287646528403967
ctxt,0.0036068530207394047
30th,0.0009017132551848512
movietrivia,0.0036068530207394047
tone,0.04508566275924256
20p,0.008115419296663661
sullivan,0.0018034265103697023
3750,0.0018034265103697023
pppleid,0.0009017132551848512
2nd,0.0351668169522092
tons,0.0009017132551848512
21870000,0.0018034265103697023
sk38xh,0.009918845807033363
blonde,0.002705139765554554
08712404000,0.0018034265103697023
speak,0.015329125338142471
appsalti,0.0009017132551848512
08712400200,0.0009017132551848512
chloe,0.0009017132551848512
billing,0.0018034265103697023
basis,0.0009017132551848512
callfreefone,0.002705139765554554
fri,0.002705139765554554
69698,0.0009017132551848512
08707500020,0.0009017132551848512
beneficiary,0.0009017132551848512
much,0.0018034265103697023
importnat,0.0009017132551848512
stadium,0.0009017132551848512
entered,0.008115419296663661
dozens,0.0009017132551848512
now1,0.0018034265103697023
hmrc,0.002705139765554554
7732584351,0.0018034265103697023
life,0.0036068530207394047
premier,0.0018034265103697023
sunshine,0.010820559062218215
rm265,0.0009017132551848512
dave,0.0036068530207394047
169,0.002705139765554554
child,0.0009017132551848512
80488,0.004508566275924256
25p,0.008115419296663661
bridal,0.0009017132551848512
150pw,0.0009017132551848512
scotsman,0.002705139765554554
reinstate,0.0009017132551848512
mymoby,0.0018034265103697023
09058091854,0.0018034265103697023
2wks,0.0009017132551848512
dept,0.0009017132551848512
slo,0.0009017132551848512
balance,0.016230838593327322
50ppm,0.0018034265103697023
launched,0.0009017132551848512
mistake,0.0009017132551848512
42810,0.0009017132551848512
a21,0.0018034265103697023
09061744553,0.0018034265103697023
congratulation,0.0009017132551848512
played,0.002705139765554554
078,0.0009017132551848512
40gb,0.010820559062218215
0906767,0.0009017132551848512
player,0.018034265103697024
cant,0.0036068530207394047
datebox1282essexcm61xn,0.0018034265103697023
2rcv,0.0018034265103697023
cnl,0.0009017132551848512
09058091870,0.0009017132551848512
cc100p,0.0009017132551848512
perform,0.0018034265103697023
things,0.0018034265103697023
make,0.012623985572587917
83021,0.0018034265103697023
tgxxrz,0.0018034265103697023
087104711148,0.0018034265103697023
penuh,0.0009017132551848512
4fil,0.0018034265103697023
entitled,0.009017132551848512
clicking,0.0009017132551848512
splashmobile,0.0009017132551848512
08167340838,0.0009017132551848512
08718727870150ppm,0.0009017132551848512
pick,0.0018034265103697023
d3wv,0.0018034265103697023
30apr,0.0009017132551848512
08704439680,0.0009017132551848512
ppm150,0.0018034265103697023
bloomberg,0.0018034265103697023
w1jhl,0.004508566275924256
bequest,0.0009017132551848512
tune,0.0018034265103697023
zoe,0.0009017132551848512
shortly,0.002705139765554554
1976,0.0009017132551848512
congrats,0.009017132551848512
redeem,0.0009017132551848512
options,0.0009017132551848512
contact,0.08385933273219116
claims,0.004508566275924256
1million,0.0018034265103697023
left,0.0018034265103697023
opinions,0.0009017132551848512
bellow,0.0009017132551848512
08701752560,0.0009017132551848512
09066364311,0.002705139765554554
photo,0.002705139765554554
41782,0.0009017132551848512
assigned,0.0009017132551848512
thanks,0.02254283137962128
87121,0.004508566275924256
yes,0.026149684400360685
yer,0.005410279531109108
yet,0.002705139765554554
previous,0.0009017132551848512
unique,0.0018034265103697023
netcollex,0.0036068530207394047
royal,0.0018034265103697023
8wp,0.004508566275924256
animation,0.0009017132551848512
teenager,0.0009017132551848512
easy,0.020739404869251576
save,0.0036068530207394047
opt,0.023444544634806132
breaks,0.0009017132551848512
possible,0.0009017132551848512
twinks,0.0009017132551848512
discreet,0.0018034265103697023
aford,0.0009017132551848512
burns,0.0009017132551848512
wellsfargo,0.0009017132551848512
r20k,0.0009017132551848512
gift,0.029756537421100092
virgins,0.0018034265103697023
footy,0.0009017132551848512
08717895698,0.0009017132551848512
3030,0.013525698827772768
wkly,0.019837691614066726
32323,0.0009017132551848512
owjy,0.0009017132551848512
62468,0.0063119927862939585
steps,0.0009017132551848512
4info,0.0036068530207394047
night,0.005410279531109108
2wt,0.0018034265103697023
security,0.005410279531109108
9280114,0.0009017132551848512
www,0.1442741208295762
right,0.0036068530207394047
old,0.0018034265103697023
people,0.004508566275924256
euro2004,0.005410279531109108
usher,0.0018034265103697023
robertdep34,0.0009017132551848512
dear,0.029756537421100092
8mju,0.0009017132551848512
9996,0.0009017132551848512
08718725756,0.0018034265103697023
toxic,0.0009017132551848512
notification,0.0009017132551848512
months,0.002705139765554554
daytime,0.0018034265103697023
shahrin,0.0009017132551848512
christmas,0.0009017132551848512
booking,0.0009017132551848512
pls,0.017132551848512173
posh,0.0009017132551848512
m227xy,0.002705139765554554
marketing,0.0018034265103697023
corn,0.0018034265103697023
08718727870,0.005410279531109108
discount,0.012623985572587917
club4,0.0009017132551848512
polyph,0.002705139765554554
post,0.004508566275924256
super,0.0036068530207394047
asjesus,0.0009017132551848512
201718,0.0009017132551848512
subs16,0.002705139765554554
89123,0.0009017132551848512
valentines,0.0036068530207394047
7548,0.0009017132551848512
plus,0.0063119927862939585
banker,0.0009017132551848512
done,0.005410279531109108
islands,0.0036068530207394047
hlp,0.0018034265103697023
sept,0.004508566275924256
xxsp,0.0009017132551848512
tonights,0.002705139765554554
facetime,0.0009017132551848512
farrell,0.0009017132551848512
whats,0.0018034265103697023
subs,0.0036068530207394047
presence,0.0009017132551848512
xyz,0.0018034265103697023
sol,0.009918845807033363
ppm,0.007213706041478809
two,0.0009017132551848512
69696,0.0036068530207394047
s89,0.0018034265103697023
0870737910216yrs,0.0018034265103697023
1327,0.0063119927862939585
wan,0.002705139765554554
c52,0.0036068530207394047
4742,0.004508566275924256
support,0.0063119927862939585
voda,0.008115419296663661
08718726270,0.0018034265103697023
class,0.0009017132551848512
virgin,0.0018034265103697023
2lands,0.017132551848512173
way,0.0018034265103697023
jane,0.0018034265103697023
music,0.027953110910730387
wat,0.002705139765554554
08712400603,0.0009017132551848512
leading,0.0009017132551848512
1winawk,0.0018034265103697023
b4280703,0.002705139765554554
caii0327884425,0.0009017132551848512
form,0.0009017132551848512
offer,0.034265103697024346
09050003091,0.0036068530207394047
6wu,0.0018034265103697023
polyphonic,0.005410279531109108
7250i,0.004508566275924256
26th,0.0009017132551848512
failure,0.0009017132551848512
hear,0.002705139765554554
>>>,0.0009017132551848512
removed,0.0009017132551848512
true,0.004508566275924256
220,0.0036068530207394047
congratulations,0.024346257889990983
responding,0.0009017132551848512
08715500022,0.0009017132551848512
08719899230,0.0018034265103697023
inside,0.0009017132551848512
bids,0.0018034265103697023
maximum,0.0018034265103697023
0_0_3,0.0009017132551848512
mth,0.0018034265103697023
08719180248,0.0018034265103697023
smashed,0.0009017132551848512
dizzee,0.0009017132551848512
151,0.0009017132551848512
09066362206,0.0018034265103697023
153,0.0018034265103697023
49557,0.0009017132551848512
28th,0.0009017132551848512
inclusive,0.007213706041478809
request,0.0009017132551848512
120p,0.0009017132551848512
sticky,0.0018034265103697023
promised,0.0018034265103697023
mrs,0.0009017132551848512
trip,0.0063119927862939585
shit,0.0009017132551848512
norm150p,0.0063119927862939585
80160,0.0009017132551848512
50rcvd,0.0009017132551848512
eerie,0.005410279531109108
09066368753,0.0018034265103697023
alerts,0.0018034265103697023
09065069120,0.0018034265103697023
topped,0.0018034265103697023
reality,0.0018034265103697023
interested,0.0009017132551848512
0089,0.0018034265103697023
digital,0.009918845807033363
08718730555,0.0009017132551848512
picture,0.0009017132551848512
bloked,0.0009017132551848512
07742676969,0.0018034265103697023
083,0.0009017132551848512
football,0.002705139765554554
140ppm,0.0018034265103697023
update,0.02164111812443643
phony,0.0018034265103697023
mre,0.0009017132551848512
oncall,0.0009017132551848512
weekend,0.010820559062218215
died,0.0009017132551848512
09061104276,0.0018034265103697023
250k,0.002705139765554554
faster,0.0009017132551848512
forÂ,0.0018034265103697023
cheaper,0.002705139765554554
toppoly,0.0018034265103697023
daily,0.0036068530207394047
